Files,Scanner Results
mini-xml.license,LGPL-2.0-or-later [N][Sc: 100%]; LGPL-2.0-only [Sc: 80%]; LicenseRef-scancode-mini-xml-exception-lgpl-2.0 [Sc: 100%]
minpack.license,BSD-2-Clause [N]; Minpack [M: 100%][Sc: 100%]
mir-os.license,MirOS [N][M: 93%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
miros-html.license,MirOS [N][M: 87%][Sc: 89%]
mit-0.license,MIT-0 [N][M: 95%][Sc: 100%]
mit-1995.license,BSD-style [N]; LicenseRef-scancode-mit-1995 [Sc: 100%]
mit-ack.license,MIT [N][Sc: 100%]; MIT-feh [N][M: 100%][Sc: 50%]
mit-addition.license,MIT [N][Sc: 100%]; MIT-Wu [M: 96%]; LicenseRef-scancode-mit-addition [Sc: 100%]
mit-export-control.license,GPL [N]; Xerox-style [N]; Xerox [M: 87%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mit-khronos-old.license,MIT [N][M: 72%]; LicenseRef-scancode-khronos [Sc: 99%]
mit-kyle-restrictions.license,MIT [N][M: 95%][Sc: 100%]
mit-license-1998.license,HPND [N]; NTP [M: 75%]; MIT [Sc: 100%]; LicenseRef-scancode-mit-license-1998 [Sc: 100%]
mit-modern.license,BSD-style [N]; MIT-Modern-Variant [M: 100%][Sc: 100%]
mit-nagy.license,UnclassifiedLicense [N]; LicenseRef-scancode-mit-nagy [Sc: 100%]
mit-no-advert-export-control.license,GPL [N]; MIT-CMU-style [N]; HPND-export-US [M: 89%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; HPND [Sc: 100%]; LicenseRef-scancode-mit-no-advert-export-control [Sc: 100%]
mit-no-false-attribs.license,MIT [N][Sc: 100%]; GPL [N]; MITNFA [N][M: 100%][Sc: 50%]; LicenseRef-scancode-other-copyleft [Sc: 80%]
mit-no-trademarks.license,MIT [N]; MIT-style [N]; WordNet-3.0 [M: 73%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LicenseRef-scancode-mit-no-trademarks [Sc: 100%]
mit-old-style-no-advert.license,MIT-CMU-style [N]; NTP [M: 77%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
mit-old-style-sparse.license,MIT-style [N]; LicenseRef-scancode-mit-old-style-sparse [Sc: 100%]
mit-old-style.license,MIT-CMU-style [N]; LicenseRef-scancode-mit-old-style [Sc: 99%]
mit-readme.license,MIT [N][Sc: 100%]; MIT-0 [N][M: 89%]; LicenseRef-scancode-mit-readme [Sc: 100%]
mit-specification-disclaimer.license,Xerox-style [N]; LicenseRef-scancode-mit-specification-disclaimer [Sc: 100%]
mit-synopsys.license,MIT [N][Sc: 100%]; MIT-testregex [M: 75%]; LicenseRef-scancode-mit-synopsys [Sc: 100%]
mit-taylor-variant.license,MIT-style [N]; LicenseRef-scancode-mit-taylor-variant [Sc: 100%]
mit-testregex.license,MIT-style [N]; MIT-testregex [M: 100%]; LicenseRef-scancode-other-permissive [Sc: 100%]
mit-veillard-variant.license,ISC [N]; LicenseRef-scancode-mit-veillard-variant [Sc: 100%]
mit-with-modification-obligations.license,MIT-CMU-style [N]; HPND-export-US [M: 76%]; HPND [Sc: 100%]; LicenseRef-scancode-mit-modification-obligations [Sc: 100%]
mit-xfig.license,X11-style [N]; Xfig [M: 100%]; LicenseRef-scancode-mit-xfig [Sc: 100%]
mit.license,MIT [N][M: 95%][Sc: 50%]; LicenseRef-scancode-unknown [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mmixware.license,UnclassifiedLicense [N]; MMIXware [M: 96%]; LicenseRef-scancode-warranty-disclaimer [Sc: 90%]; LicenseRef-scancode-other-permissive [Sc: 100%]
mod-dav-1.0.license,BSD-3-Clause-Attribution [N]; BSD-Advertising-Acknowledgement [M: 71%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mod-dav-1.0 [Sc: 100%]
monetdb-1.1.license,Dual-license [N]; MPL-1.1 [N][M: 94%]; LicenseRef-scancode-monetdb-1.1 [Sc: 100%]
mongodb-sspl-1.0.license,GPL-3.0-only-possibility [N]; SSPL-1.0 [N][M: 96%][Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 50%]; AGPL-3.0-or-later [Sc: 80%]
monkeysaudio.license,GPL [N]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
morbig-ieee-std-usage.license,GPL-3.0-only [N][Sc: 100%]; LicenseRef-scancode-other-permissive [Sc: 100%]
motorola.license,No_license_found [N]; LicenseRef-scancode-motorola [Sc: 100%]
motosoto-0.9.1.license,Motosoto [N][M: 98%][Sc: 100%]; Jabber-1.0 [M: 85%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
moxa-linux-firmware.license,UnclassifiedLicense [N]; LicenseRef-scancode-moxa-linux-firmware [Sc: 100%]
mozilla-gc.license,NotreDame-style [N]; Boehm-GC [M: 88%]; LicenseRef-scancode-mozilla-gc [Sc: 100%]
mozilla-ospl-1.0.license,CC0-1.0 [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mozilla-ospl-1.0 [Sc: 100%]
mpeg-7.license,UnclassifiedLicense [N]; LicenseRef-scancode-mpeg-7 [Sc: 100%]
mpeg-iso.license,UnclassifiedLicense [N]; LicenseRef-scancode-mpeg-iso [Sc: 100%]
mpeg-ssg.license,No_license_found [N]; MPEG-SSG [M: 93%]; LicenseRef-scancode-mpeg-ssg [Sc: 100%]
mpi-permissive.license,UnclassifiedLicense [N]; mpi-permissive [M: 79%][Sc: 100%]
mpich.license,mpich2 [N][M: 95%][Sc: 100%]
mpich2.license,mpich2 [N][M: 78%][Sc: 100%]
mpl-1.0.license,MPL-1.0 [N][M: 99%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; MPL-1.1 [Sc: 100%]
mpl-1.1.license,MPL-1.1 [N][M: 96%][Sc: 50%]; CUA-OPL-1.0 [M: 97%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mpl-2.0-no-copyleft-exception.license,MPL-2.0 [N][Sc: 50%]; MPL-2.0-no-copyleft-exception [Sc: 50%]
mpl-2.0.license,MPL-2.0-no-copyleft-exception [N][M: 99%]; MPL-2.0 [Sc: 50%]
mplus.license,Freeware [N]; mplus [M: 100%][Sc: 100%]
ms-api-code-pack-net.license,MS-EULA [N]; LicenseRef-scancode-ms-jdbc-driver-41-sql-server [Sc: 68%]
ms-asp-net-ajax-supplemental-terms.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-asp-net-ajax-supp-terms [Sc: 100%]
ms-asp-net-mvc3.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-asp-net-mvc3 [Sc: 100%]
ms-asp-net-mvc4-extensions.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-mvc4-extensions [Sc: 100%]
ms-asp-net-mvc4.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-mvc4 [Sc: 100%]
ms-asp-net-software.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-software [Sc: 100%]
ms-asp-net-tools-pre-release.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-tools-pre-release [Sc: 100%]
ms-asp-net-web-optimization-framework.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-web-optimization [Sc: 100%]
ms-asp-net-web-pages-2.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-web-pages-2 [Sc: 100%]
ms-asp-net-web-pages-templates.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-asp-net-web-pages-templates [Sc: 100%]
ms-azure-data-studio.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-azure-data-studio [Sc: 100%]
ms-azure-spatialanchors-2.9.0.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-azure-spatialanchors-2.9.0 [Sc: 100%]
ms-capicom.license,MS-EULA [N]; LicenseRef-scancode-ms-capicom [Sc: 100%]
ms-cl.license,See-URL [N]; LicenseRef-scancode-ms-cl [Sc: 100%]
ms-cla.license,CCPL [N]; LicenseRef-scancode-generic-cla [Sc: 100%]; LicenseRef-scancode-ms-cla [Sc: 100%]
ms-container-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-python-vscode-pylance-2021 [Sc: 58%]; LicenseRef-scancode-unknown-license-reference [Sc: 90%]
ms-control-spy-2.0.license,MS-EULA [N]; LicenseRef-scancode-ms-control-spy-2.0 [Sc: 100%]
ms-data-tier-af-2022.license,MS-EULA [N]; LicenseRef-scancode-ms-data-tier-af-2022 [Sc: 100%]
ms-developer-services-agreement-2018-06.license,Non-commercial [N]; LicenseRef-scancode-ms-dev-services-2018-06 [Sc: 100%]
ms-developer-services-agreement.license,MS-LPL [N][M: 88%][Sc: 100%]; LicenseRef-scancode-ms-dev-services-agreement [Sc: 100%]
ms-device-emulator-3.0.license,MS-EULA [N]; LicenseRef-scancode-ms-device-emulator-3.0 [Sc: 100%]
ms-direct3d-d3d120n7-1.1.0.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-direct3d-d3d120n7-1.1.0 [Sc: 100%]
ms-directx-sdk-eula-2020.license,MS-EULA [N]; LicenseRef-scancode-ms-asp-net-web-pages-templates [Sc: 83%]
ms-directx-sdk-eula.license,MS-EULA [N]; LicenseRef-scancode-ms-directx-sdk-eula [Sc: 100%]
ms-dxsdk-d3dx-9.29.952.3.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-dxsdk-d3dx-9.29.952.3 [Sc: 100%]
ms-edge-devtools-2022.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-python-vscode-pylance-2021 [Sc: 58%]
ms-edge-webview2-fixed.license,LGPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]
ms-edge-webview2.license,LGPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]; LGPL-2.1-or-later [Sc: 100%]
ms-entity-framework-4.1.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-entity-framework-4.1 [Sc: 100%]
ms-entity-framework-5.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-entity-framework-5 [Sc: 100%]
ms-eula-win-script-host.license,MS-EULA [N]; LicenseRef-scancode-ms-eula-win-script-host [Sc: 100%]
ms-exchange-server-2010-sp2-sdk.license,MS-EULA [N]; LicenseRef-scancode-ms-exchange-srv-2010-sp2-sdk [Sc: 100%]
ms-iis-container-images-eula-2020.license,Restricted-rights [N]; UnclassifiedLicense [N]; LicenseRef-scancode-ms-iis-container-eula-2020 [Sc: 100%]
ms-ilmerge.license,MS-EULA [N]; LicenseRef-scancode-ms-ilmerge [Sc: 100%]
ms-invisible-eula-1.0.license,Non-commercial [N]; LicenseRef-scancode-ms-invisible-eula-1.0 [Sc: 100%]
ms-jdbc-driver-40-sql-server.license,MS-EULA [N]; LicenseRef-scancode-ms-jdbc-driver-40-sql-server [Sc: 100%]
ms-jdbc-driver-41-sql-server.license,MS-EULA [N]; LicenseRef-scancode-ms-jdbc-driver-41-sql-server [Sc: 100%]
ms-jdbc-driver-60-sql-server.license,MS-EULA [N]; LicenseRef-scancode-ms-jdbc-driver-60-sql-server [Sc: 100%]
ms-kinext-win-sdk.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-kinext-win-sdk [Sc: 100%]
ms-limited-community.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-limited-community [Sc: 100%]
ms-limited-public.license,MS-LPL [N][M: 97%][Sc: 100%]
ms-lpl.license,MS-LPL [N][M: 96%][Sc: 100%]
ms-msn-webgrease.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-msn-webgrease [Sc: 100%]
ms-net-framework-4-supplemental-terms.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]
ms-net-framework-deployment.license,MS-EULA [N]; LicenseRef-scancode-ms-net-framework-deployment [Sc: 100%]
ms-net-library-2016-05.license,MS-EULA [N]; LicenseRef-scancode-ms-net-library [Sc: 100%]; LicenseRef-scancode-ms-net-library-2018-11 [Sc: 100%]; LicenseRef-scancode-ms-net-library-2016-05 [Sc: 100%]
ms-net-library-2018-11.license,MS-EULA [N]; LicenseRef-scancode-ms-net-library-2018-11 [Sc: 90%]; LicenseRef-scancode-ms-net-library [Sc: 99%]
ms-net-library-2019-06.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-net-library-2018-11 [Sc: 90%]; LicenseRef-scancode-ms-net-library-2019-06 [Sc: 90%]
ms-net-library-2020-09.license,MS-EULA [N]; LicenseRef-scancode-ms-net-library-2020-09 [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-net-library-2018-11 [Sc: 100%]
ms-net-library.license,MS-EULA [N]; LicenseRef-scancode-ms-net-library [Sc: 100%]; LicenseRef-scancode-ms-net-library-2018-11 [Sc: 100%]
ms-nt-resource-kit.license,MS-EULA [N]; LicenseRef-scancode-ms-nt-resource-kit [Sc: 100%]
ms-nuget-package-manager.license,MS-EULA [N]; LicenseRef-scancode-ms-nuget [Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-nuget-package-manager [Sc: 100%]
ms-nuget.license,Dual-license [N]; GPL [N]; LicenseRef-scancode-ms-nuget [Sc: 100%]
ms-office-extensible-file.license,MS-LPL [N][M: 89%]; MS-PL [M: 90%]; LicenseRef-scancode-ms-office-extensible-file [Sc: 100%]
ms-office-system-programs-eula.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-office-system-programs-eula [Sc: 100%]
ms-opus-patent-2012.license,Non-profit [N]; UnclassifiedLicense [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ms-patent-promise-mono.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-patent-promise-mono [Sc: 100%]
ms-patent-promise.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-patent-promise [Sc: 100%]
ms-permissive-1.1.license,MS-PL [N][M: 98%][Sc: 80%]
ms-pl-html.license,MS-PL [N][M: 90%][Sc: 100%]
ms-pl.license,MS-PL [N][M: 98%][Sc: 80%]; MPL [N]
ms-platform-sdk.license,MS-EULA [N]; LicenseRef-scancode-ms-platform-sdk [Sc: 100%]
ms-pre-release-sla-2023.license,Non-commercial [N]; No_license_found [Sc]
ms-programsynthesis-7.22.0.license,Non-commercial [N]; LicenseRef-scancode-ms-programsynthesis-7.22.0 [Sc: 100%]
ms-python-vscode-pylance-2021.license,UnclassifiedLicense [N]; LicenseRef-scancode-ms-python-vscode-pylance-2021 [Sc: 100%]
ms-reactive-extensions-eula.license,MS-EULA [N]; LicenseRef-scancode-ms-reactive-extensions-eula [Sc: 100%]
ms-refl.license,MRL [N]; LicenseRef-scancode-ms-rsl [Sc: 97%]
ms-remote-ndis-usb-kit.license,MS-EULA [N]; LicenseRef-scancode-ms-remote-ndis-usb-kit [Sc: 100%]
ms-research-shared-source.license,Non-commercial [N]; LicenseRef-scancode-ms-research-shared-source [Sc: 100%]
ms-rl-html.license,MS-RL [N][M: 91%][Sc: 100%]
ms-rl.license,MS-RL [N][M: 100%][Sc: 80%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; MS-PL [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
ms-rsl.license,MRL [N]; MS-RL [N]; LicenseRef-scancode-ms-rsl [Sc: 100%]
ms-silverlight-3.license,MS-EULA [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-silverlight-3 [Sc: 100%]
ms-specification.license,Microsoft [N]; No_license_found [Sc]
ms-sql-server-compact-4.0.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-sql-server-compact-4.0 [Sc: 100%]
ms-sql-server-data-tools.license,MS-EULA [N]; LicenseRef-scancode-ms-sql-server-data-tools [Sc: 100%]
ms-sspl.license,UnclassifiedLicense [N]; SSPL-1.0 [Sc: 90%]; LicenseRef-scancode-ms-sspl [Sc: 100%]
ms-sysinternals-sla.license,MS-EULA [N]; LicenseRef-scancode-ms-sysinternals-sla [Sc: 100%]
ms-testplatform-17.0.0.license,MS-EULA [N]; LicenseRef-scancode-ms-testplatform-17.0.0 [Sc: 100%]
ms-ttf-eula.license,MS-EULA [N]; LicenseRef-scancode-ms-ttf-eula [Sc: 100%]
ms-typescript-msbuild-4.1.4.license,MS-EULA [N]; LicenseRef-scancode-ms-typescript-msbuild-4.1.4 [Sc: 100%]
ms-visual-2008-runtime.license,MS-EULA [N]; LicenseRef-scancode-ms-visual-2008-runtime [Sc: 100%]
ms-visual-2010-runtime.license,MS-EULA [N]; LicenseRef-scancode-ms-visual-2010-runtime [Sc: 100%]
ms-visual-2015-sdk.license,MS-EULA [N]; LicenseRef-scancode-ms-visual-2015-sdk [Sc: 90%]
ms-visual-cpp-2015-runtime.license,MS-EULA [N]; LicenseRef-scancode-ms-visual-cpp-2015-runtime [Sc: 100%]
ms-visual-studio-2017-tools.license,MS-EULA [N]; LicenseRef-scancode-ms-visual-studio-2017-tools [Sc: 100%]
ms-visual-studio-2017.license,See-URL [N]; LicenseRef-scancode-ms-visual-studio-2017 [Sc: 100%]
ms-visual-studio-code-2018.license,See-URL [N]; LicenseRef-scancode-ms-visual-studio-code-2018 [Sc: 100%]
ms-visual-studio-code-2022.license,MIT [N]; LicenseRef-scancode-ms-visual-studio-code-2022 [Sc: 100%]
ms-visual-studio-code.license,LGPL [N]; MS-EULA [N]; LicenseRef-scancode-ms-visual-studio-code [Sc: 100%]
ms-vs-addons-ext-17.2.0.license,MS-EULA [N]; LicenseRef-scancode-ms-vs-addons-ext-17.2.0 [Sc: 100%]
ms-web-developer-tools-1.0.license,MS-EULA [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-ms-web-developer-tools-1.0 [Sc: 100%]
ms-windows-container-base-image-eula-2020.license,Non-commercial [N]; LicenseRef-scancode-ms-win-container-eula-2020 [Sc: 100%]
ms-windows-driver-kit.license,MS-EULA [N]; LicenseRef-scancode-ms-windows-driver-kit [Sc: 100%]
ms-windows-identity-foundation.license,Microsoft-possibility [N]; LicenseRef-scancode-ms-net-framework-4-supp-terms [Sc: 100%]; LicenseRef-scancode-ms-windows-identity-foundation [Sc: 100%]
ms-windows-os-2018.license,LGPL [N]; LicenseRef-scancode-ms-windows-os-2018 [Sc: 100%]
ms-windows-sdk-server-2008-net-3.5.license,MS-EULA [N]; LicenseRef-scancode-ms-win-sdk-server-2008-net-3.5 [Sc: 100%]
ms-windows-sdk-win10-net-6.license,MS-EULA [N]; LicenseRef-scancode-ms-net-library-2020-09 [Sc: 53%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
ms-windows-sdk-win10.license,MS-EULA [N]; LicenseRef-scancode-ms-windows-sdk-win10 [Sc: 100%]
ms-windows-sdk-win7-net-4.license,MS-EULA [N]; LicenseRef-scancode-ms-windows-sdk-win7-net-4 [Sc: 100%]
ms-windows-server-2003-ddk.license,MS-EULA [N]; LicenseRef-scancode-ms-windows-server-2003-ddk [Sc: 100%]
ms-windows-server-2003-sdk.license,MS-EULA [N]; LicenseRef-scancode-ms-windows-server-2003-sdk [Sc: 100%]
ms-ws-routing-spec.license,MS-IP [N]; LicenseRef-scancode-ms-ws-routing-spec [Sc: 100%]
ms-xamarin-uitest3.2.0.license,MS-EULA [N]; LicenseRef-scancode-ms-xamarin-uitest3.2.0 [Sc: 100%]
ms-xml-core-4.0.license,MS-EULA [N]; LicenseRef-scancode-ms-xml-core-4.0 [Sc: 100%]
msdn-magazine-sample-code-2007.license,Non-commercial [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-proprietary-license [Sc: 100%]
msj-sample-code.license,UnclassifiedLicense [N]; LicenseRef-scancode-msj-sample-code [Sc: 100%]
msntp.license,MSNTP [N]; NTP [N]; LicenseRef-scancode-msntp [Sc: 100%]
msppl.license,CCPL [N]; MS-PL [N][M: 88%]; MS-LPL [M: 86%]; CC-BY-3.0-US [M: 89%]; LicenseRef-scancode-msppl [Sc: 100%]
mtll.license,Apache-1.1 [N]; GPL [N]; MTLL [N][M: 89%][Sc: 100%]; Apache-2.0 [Sc: 99%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mtx-licensing-statement.license,UnclassifiedLicense [N]; LicenseRef-scancode-mtx-licensing-statement [Sc: 100%]
mulanpsl-1.0-en.license,MulanPSL-1.0 [N][Sc: 100%]; LicenseRef-scancode-mulanpsl-1.0-en [Sc: 100%]
mulanpsl-1.0.license,MulanPSL-1.0 [N][M: 93%][Sc: 100%]; LicenseRef-scancode-mulanpsl-1.0-en [Sc: 100%]
mulanpsl-2.0-en.license,MulanPSL-1.0 [N]; LicenseRef-scancode-mulanpsl-2.0-en [Sc: 100%]; MulanPSL-2.0 [Sc: 100%]
mulanpsl-2.0.license,MulanPSL-1.0 [N]; MulanPSL-2.0 [M: 92%][Sc: 100%]; LicenseRef-scancode-mulanpsl-2.0-en [Sc: 100%]
mulanpubl-1.0.license,AGPL-3.0-only [N][Sc: 90%]; GPL-1.0-or-later [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 50%]; GPL-3.0-only [Sc: 100%]
mulanpubl-2.0.license,AGPL-3.0-or-later [N]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; AGPL-3.0-only [Sc: 100%]; LicenseRef-scancode-unknown [Sc: 100%]
mule-source-1.1.3.license,MPL-1.1 [N][M: 90%][Sc: 100%]; Terracotta [M: 78%]; CUA-OPL-1.0 [M: 94%]; LicenseRef-scancode-mule-source-1.1.3 [Sc: 100%]
mule-source-1.1.4.license,MPL-1.1 [N][M: 90%][Sc: 100%]; CUA-OPL-1.0 [M: 94%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mule-source-1.1.4 [Sc: 100%]
mulle-kybernetik.license,CMU-style [N]; LicenseRef-scancode-mulle-kybernetik [Sc: 100%]
multics-txt.license,Multics [N][M: 98%][Sc: 99%]
multics.license,Multics [N][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
mup.license,Mup [N][M: 95%][Sc: 100%]; GPL [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; DOC [Sc: 100%]
musl-exception.license,No_license_found [N]; LicenseRef-scancode-musl-exception [Sc: 100%]
mut-license.license,UnclassifiedLicense [N]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
mvt-1.1.license,MPL-2.0-no-copyleft-exception [N][M: 91%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mvt-1.1 [Sc: 100%]
mx4j.license,Apache-1.1-style [N]; Entessa [M: 80%]; MX4J-1.0 [M: 96%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]; LicenseRef-scancode-mx4j [Sc: 100%]
mysql-connector-odbc-exception-2.0.license,GPL-2.0-only [N][Sc: 100%]; LicenseRef-scancode-mysql-con-odbc-exception-2.0 [Sc: 100%]
mysql-floss-exception-2.0.license,Apache-2.0 [N]; CDDL-1.0 [N]; GPL-2.0-only [N][Sc: 100%]; LGPL-2.0-only [N]; MIT [N]; MPL [N]; NCSA [N]; PHP [N]; W3C [N]; mysql-floss-exception [N]; Alfresco-FLOSS [M: 90%]; LicenseRef-scancode-mysql-floss-exception-2.0 [Sc: 87%]; GPL-2.0-or-later [Sc: 87%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
mysql-linking-exception-2018.license,UnclassifiedLicense [N]; LicenseRef-scancode-mysql-linking-exception-2018 [Sc: 100%]
n8n-ee-2022.license,MIT-style [N]; LicenseRef-scancode-gitlab-ee [Sc: 70%]
naist-2003.license,naist-2003 [N]; NAIST-2003 [M: 94%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
nant-exception-2.0-plus.license,GPL-2.0-or-later [N][Sc: 50%]; openvpn-openssl-exception [M: 76%]; GPL-2.0-only [Sc: 100%]; LicenseRef-scancode-nant-exception-2.0-plus [Sc: 100%]
nasa-1.3.license,NASA-1.3 [N][M: 98%][Sc: 50%]; LicenseRef-scancode-free-unknown [Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]
naughter.license,UnclassifiedLicense [N]; LicenseRef-scancode-naughter [Sc: 100%]
naumen.license,Naumen [N][M: 100%][Sc: 100%]; LicenseRef-scancode-unknown-license-reference [Sc: 100%]; LicenseRef-scancode-free-unknown [Sc: 100%]
nbpl-1.0.license,NBPL-1.0 [N][M: 100%][Sc: 50%]; LicenseRef-scancode-unknown-license-reference [Sc: 80%]
ncbi.license,Public-domain [N]; LicenseRef-scancode-public-domain [Sc: 100%]; LicenseRef-scancode-ncbi [Sc: 100%]
ncgl-uk-2.0.license,CC-BY-NC-3.0 [N]; NCGL-UK-2.0 [M: 94%][Sc: 100%]; Apache-2.0 [Sc: 100%]
ncsa-httpd-1995.license,Non-commercial [N]; LicenseRef-scancode-proprietary-license [Sc: 100%]
nero-eula.license,BSD-style [N]; LGPL-2.1-or-later [N]; MIT-style [N]; MPL [N]; RSA-MD [N][M: 70%]; Brian-Gladman-3-Clause [M: 68%]; MIT-0 [M: 82%]; LicenseRef-scancode-nero-eula [Sc: 100%]
